hora,response,response_json
1,"Para determinar si la distribución de cargas de los UPFs (User Plane Functions) es ""OK"" o ""NOT OK"" basándonos en los valores proporcionados [0.91276434, 0.61369649, 0.76827998, 0.99420709, 0.81156171, 0.97002639], necesitamos un criterio de evaluación específico. Sin un umbral o rango de valores aceptables definido, no es posible hacer una evaluación precisa.

Sin embargo, si asumimos que estos valores representan la carga relativa de cada UPF y que el objetivo es mantener una carga balanceada, podemos observar lo siguiente:

1. Los valores están relativamente cerca unos de otros, lo que sugiere que no hay un desequilibrio extremo.
2. El valor más alto es 0.99420709 y el más bajo es 0.61369649, lo que indica una diferencia de aproximadamente 0.38 entre el UPF más cargado y el menos cargado.

Si el criterio de evaluación permite una diferencia de carga de hasta 0.38 entre UPFs, entonces la distribución podría considerarse ""OK"". Si el criterio es más estricto, podría considerarse ""NOT OK"".

En resumen, sin un criterio específico, no es posible determinar con certeza si la distribución es ""OK"" o ""NOT OK"". Se necesita más información sobre los umbrales de carga aceptables para los UPFs.","
{
  ""operation"": ""AsSessionWithQoS"",
  ""UPFs"": [
    {
      ""name"": ""UPF_1"",
      ""ip"": ""UPF_1_IP"",
      ""bandwidth"": ""273.82930263""
    },
    {
      ""name"": ""UPF_2"",
      ""ip"": ""UPF_2_IP"",
      ""bandwidth"": ""184.10894838""
    },
    {
      ""name"": ""UPF_3"",
      ""ip"": ""UPF_3_IP"",
      ""bandwidth"": ""107.55919728""
    },
    {
      ""name"": ""UPF_4"",
      ""ip"": ""UPF_4_IP"",
      ""bandwidth"": ""69.5944963""
    },
    {
      ""name"": ""UPF_5"",
      ""ip"": ""UPF_5_IP"",
      ""bandwidth"": ""113.6186389""
    },
    {
      ""name"": ""UPF_6"",
      ""ip"": ""UPF_6_IP"",
      ""bandwidth"": ""291.00791717""
    }
  ]
}
"
2,"Para determinar si la distribución de cargas de los UPFs (User Plane Functions) es ""OK"" o ""NOT OK"", necesitamos evaluar los valores proporcionados en el contexto de un criterio específico de balanceo de carga. Sin embargo, la información proporcionada no incluye un umbral o criterio específico para determinar si la distribución es adecuada.

Los valores dados son: [0.95905673, 0.93153872, 0.92062134, 0.18591074, 0.62246893, 0.93109092]. Estos parecen representar la carga o utilización de diferentes UPFs. Para que la distribución de carga sea considerada ""OK"", generalmente se espera que las cargas estén equilibradas, es decir, que no haya una gran disparidad entre ellas.

En este caso, uno de los valores (0.18591074) es significativamente más bajo que los demás, lo que indica un posible desequilibrio en la distribución de carga. Si el objetivo es tener una carga equilibrada entre los UPFs, entonces esta distribución podría considerarse ""NOT OK"" debido a la disparidad en la carga.

En resumen, sin un criterio específico, pero basándonos en la observación de equilibrio, la distribución de cargas parece ""NOT OK"" debido al valor significativamente más bajo en comparación con los otros.","
{
  ""operation"": ""AsSessionWithQoS"",
  ""UPFs"": [
    {
      ""name"": ""UPF_1"",
      ""ip"": ""UPF_1_IP"",
      ""bandwidth"": ""287.71701769""
    },
    {
      ""name"": ""UPF_2"",
      ""ip"": ""UPF_2_IP"",
      ""bandwidth"": ""279.46161737""
    },
    {
      ""name"": ""UPF_3"",
      ""ip"": ""UPF_3_IP"",
      ""bandwidth"": ""128.88698802""
    },
    {
      ""name"": ""UPF_4"",
      ""ip"": ""UPF_4_IP"",
      ""bandwidth"": ""13.01375176""
    },
    {
      ""name"": ""UPF_5"",
      ""ip"": ""UPF_5_IP"",
      ""bandwidth"": ""87.14565057""
    },
    {
      ""name"": ""UPF_6"",
      ""ip"": ""UPF_6_IP"",
      ""bandwidth"": ""279.3272758""
    }
  ]
}
"
3,"Para determinar si la distribución de cargas de los UPFs (User Plane Functions) es ""OK"" o ""NOT OK"", necesitamos entender qué representan los valores proporcionados: [0.89158987, 0.9547902, 0.28182, 0.95447076, 0.96321059, 0.85573632]. Estos valores parecen ser indicadores de carga o utilización de los UPFs.

1. **Interpretación de los valores**: 
   - Los valores están en un rango de 0 a 1, donde 1 podría representar el 100% de utilización.
   - Valores cercanos a 1 indican alta utilización, mientras que valores cercanos a 0 indican baja utilización.

2. **Análisis de la distribución**:
   - La mayoría de los valores están por encima de 0.85, lo que sugiere que esos UPFs están altamente cargados.
   - Un valor de 0.28182 indica que uno de los UPFs está significativamente menos cargado que los demás.

3. **Conclusión**:
   - La distribución de cargas no es uniforme. Un UPF está subutilizado mientras que los demás están cerca de su capacidad máxima.
   - Esto podría indicar un desequilibrio en la distribución de cargas, lo cual no es ideal para la eficiencia y puede llevar a problemas de rendimiento en los UPFs más cargados.

Por lo tanto, la distribución de cargas de los UPFs es ""NOT OK"" debido al desequilibrio en la carga, con un UPF subutilizado y otros operando cerca de su capacidad máxima. Es recomendable revisar la asignación de tráfico para equilibrar mejor las cargas entre los UPFs.","
{
  ""operation"": ""AsSessionWithQoS"",
  ""UPFs"": [
    {
      ""name"": ""UPF_1"",
      ""ip"": ""UPF_1_IP"",
      ""bandwidth"": ""267.47696199""
    },
    {
      ""name"": ""UPF_2"",
      ""ip"": ""UPF_2_IP"",
      ""bandwidth"": ""286.43706072""
    },
    {
      ""name"": ""UPF_3"",
      ""ip"": ""UPF_3_IP"",
      ""bandwidth"": ""39.45479998""
    },
    {
      ""name"": ""UPF_4"",
      ""ip"": ""UPF_4_IP"",
      ""bandwidth"": ""66.81295345""
    },
    {
      ""name"": ""UPF_5"",
      ""ip"": ""UPF_5_IP"",
      ""bandwidth"": ""134.84948217""
    },
    {
      ""name"": ""UPF_6"",
      ""ip"": ""UPF_6_IP"",
      ""bandwidth"": ""256.72089655""
    }
  ]
}
"
4,"Para determinar si la distribución de cargas de los UPFs (User Plane Functions) es ""OK"" o ""NOT OK"" basándonos en los valores proporcionados [0.88659472, 0.76153037, 0.91167262, 0.61818212, 0.77500693, 0.89883271], necesitamos un criterio de evaluación específico. Sin un umbral o rango de valores aceptables claramente definido, no es posible hacer una evaluación precisa.

Sin embargo, si asumimos que los valores representan una métrica de carga donde 1.0 es el máximo permitido, todos los valores están por debajo de 1.0, lo que podría indicar que la carga está dentro de los límites aceptables. En este caso, podríamos considerar la distribución de cargas como ""OK"".

Si hay un umbral específico que no debe superarse (por ejemplo, 0.9), entonces el valor 0.91167262 excede este umbral, lo que podría indicar un problema de sobrecarga en ese UPF específico, y en ese caso, la distribución de cargas sería ""NOT OK"".

En resumen, sin un criterio específico, la evaluación es ambigua. Si el umbral es 1.0, la distribución es ""OK"". Si el umbral es inferior a 0.91167262, entonces es ""NOT OK"".","
{
  ""operation"": ""AsSessionWithQoS"",
  ""UPFs"": [
    {
      ""name"": ""UPF_1"",
      ""ip"": ""UPF_1_IP"",
      ""bandwidth"": ""265.97841663""
    },
    {
      ""name"": ""UPF_2"",
      ""ip"": ""UPF_2_IP"",
      ""bandwidth"": ""228.45911136""
    },
    {
      ""name"": ""UPF_3"",
      ""ip"": ""UPF_3_IP"",
      ""bandwidth"": ""127.63416725""
    },
    {
      ""name"": ""UPF_4"",
      ""ip"": ""UPF_4_IP"",
      ""bandwidth"": ""43.27274869""
    },
    {
      ""name"": ""UPF_5"",
      ""ip"": ""UPF_5_IP"",
      ""bandwidth"": ""108.50097054""
    },
    {
      ""name"": ""UPF_6"",
      ""ip"": ""UPF_6_IP"",
      ""bandwidth"": ""269.6498119""
    }
  ]
}
"
5,"Para determinar si la distribución de cargas de los UPFs (User Plane Functions) es ""OK"" o ""NOT OK"" basándonos en los valores proporcionados [0.92057976, 0.90675788, 0.12401745, 0.6719473, 0.95015351, 0.88764786], necesitamos un criterio específico de evaluación que no se ha proporcionado en el texto. Sin embargo, puedo ofrecerte una guía general sobre cómo podrías evaluar estos valores:

1. **Uniformidad de la carga**: Idealmente, la carga debería estar distribuida de manera uniforme entre los UPFs para evitar sobrecargas en algunos y subutilización en otros. En este caso, hay un valor significativamente más bajo (0.12401745) en comparación con los demás, lo que sugiere una posible subutilización de ese UPF.

2. **Umbrales de carga**: Si existieran umbrales específicos que definieran cuándo un UPF está sobrecargado o subutilizado, podríamos compararlos con estos valores. Sin esos umbrales, es difícil hacer una evaluación precisa.

3. **Promedio y desviación estándar**: Calcular el promedio y la desviación estándar de estos valores podría proporcionar una idea de la variabilidad en la carga. Una alta desviación estándar indicaría una distribución desigual.

Dado que no se han proporcionado criterios específicos para evaluar estos valores, no puedo determinar de manera concluyente si la distribución de cargas es ""OK"" o ""NOT OK"". Sin embargo, la presencia de un valor significativamente más bajo podría ser una señal de alerta para revisar la distribución de cargas.","
{
  ""operation"": ""AsSessionWithQoS"",
  ""UPFs"": [
    {
      ""name"": ""UPF_1"",
      ""ip"": ""UPF_1_IP"",
      ""bandwidth"": ""276.17392924""
    },
    {
      ""name"": ""UPF_2"",
      ""ip"": ""UPF_2_IP"",
      ""bandwidth"": ""272.02736401""
    },
    {
      ""name"": ""UPF_3"",
      ""ip"": ""UPF_3_IP"",
      ""bandwidth"": ""17.36244322""
    },
    {
      ""name"": ""UPF_4"",
      ""ip"": ""UPF_4_IP"",
      ""bandwidth"": ""47.03631123""
    },
    {
      ""name"": ""UPF_5"",
      ""ip"": ""UPF_5_IP"",
      ""bandwidth"": ""133.02149199""
    },
    {
      ""name"": ""UPF_6"",
      ""ip"": ""UPF_6_IP"",
      ""bandwidth"": ""266.29435891""
    }
  ]
}
"
6,"Para determinar si la distribución de cargas de los UPFs (User Plane Functions) es ""OK"" o ""NOT OK"", necesitamos evaluar los valores proporcionados en el contexto de un umbral o criterio específico que defina qué se considera una distribución aceptable. Los valores que has proporcionado son:

\[0.85362074, 0.94309498, 0.82362333, 0.45555687, 0.77206242, 0.83047244\]

Sin un umbral específico o un criterio de balance de carga, es difícil hacer una evaluación precisa. Sin embargo, en un contexto general, podríamos considerar lo siguiente:

1. **Uniformidad**: Si buscamos una distribución uniforme, los valores deberían estar lo más cerca posible entre sí. En este caso, el valor 0.45555687 es significativamente menor que los demás, lo que podría indicar un desequilibrio.

2. **Umbral máximo**: Si existe un umbral máximo permitido (por ejemplo, 0.9), el valor 0.94309498 excede este umbral, lo que podría ser problemático.

3. **Umbral mínimo**: Si existe un umbral mínimo (por ejemplo, 0.5), el valor 0.45555687 estaría por debajo de este umbral.

Basado en estos puntos, si asumimos que buscamos una distribución uniforme y que no debe exceder un umbral máximo de 0.9, la distribución podría considerarse ""NOT OK"" debido al valor que excede el umbral y al desequilibrio evidente. Sin embargo, para una evaluación precisa, sería necesario conocer los criterios específicos de aceptación para la distribución de cargas de los UPFs en tu contexto particular.","
{
  ""operation"": ""AsSessionWithQoS"",
  ""UPFs"": [
    {
      ""name"": ""UPF_1"",
      ""ip"": ""UPF_1_IP"",
      ""bandwidth"": ""256.08622114""
    },
    {
      ""name"": ""UPF_2"",
      ""ip"": ""UPF_2_IP"",
      ""bandwidth"": ""282.92849292""
    },
    {
      ""name"": ""UPF_3"",
      ""ip"": ""UPF_3_IP"",
      ""bandwidth"": ""115.30726573""
    },
    {
      ""name"": ""UPF_4"",
      ""ip"": ""UPF_4_IP"",
      ""bandwidth"": ""31.8889812""
    },
    {
      ""name"": ""UPF_5"",
      ""ip"": ""UPF_5_IP"",
      ""bandwidth"": ""108.0887385""
    },
    {
      ""name"": ""UPF_6"",
      ""ip"": ""UPF_6_IP"",
      ""bandwidth"": ""249.14173266""
    }
  ]
}
"
7,"Para determinar si la distribución de cargas de los UPFs (User Plane Functions) es ""OK"" o ""NOT OK"" basándonos en los valores proporcionados [0.85498229, 0.84028021, 0.79319268, 0.9911704, 0.77940208, 0.89601895], necesitamos un criterio específico de evaluación que no está presente en la información proporcionada. Sin un umbral o estándar de referencia para comparar estos valores, no es posible determinar si la distribución es adecuada o no.

En general, para evaluar la distribución de cargas, se buscaría que los valores estén equilibrados y dentro de un rango aceptable de operación definido por el operador o las especificaciones técnicas relevantes. Si, por ejemplo, el umbral aceptable fuera que todas las cargas deben estar por debajo de 0.9, entonces el valor 0.9911704 indicaría una sobrecarga, y la distribución sería ""NOT OK"". Sin embargo, sin un contexto o criterio específico, no se puede hacer una evaluación precisa.

Por lo tanto, con la información proporcionada, no se puede concluir si la distribución de cargas es ""OK"" o ""NOT OK"".","
{
  ""operation"": ""AsSessionWithQoS"",
  ""UPFs"": [
    {
      ""name"": ""UPF_1"",
      ""ip"": ""UPF_1_IP"",
      ""bandwidth"": ""256.49468572""
    },
    {
      ""name"": ""UPF_2"",
      ""ip"": ""UPF_2_IP"",
      ""bandwidth"": ""252.0840635""
    },
    {
      ""name"": ""UPF_3"",
      ""ip"": ""UPF_3_IP"",
      ""bandwidth"": ""111.04697457""
    },
    {
      ""name"": ""UPF_4"",
      ""ip"": ""UPF_4_IP"",
      ""bandwidth"": ""69.38192828""
    },
    {
      ""name"": ""UPF_5"",
      ""ip"": ""UPF_5_IP"",
      ""bandwidth"": ""109.11629107""
    },
    {
      ""name"": ""UPF_6"",
      ""ip"": ""UPF_6_IP"",
      ""bandwidth"": ""268.80568621""
    }
  ]
}
"
8,"Para determinar si la distribución de cargas de los UPFs (User Plane Functions) es ""OK"" o ""NOT OK"" basándonos en los valores proporcionados [0.88619244, 0.83229609, 0.95049231, 0.61309141, 0.2581348, 0.96400626], necesitamos un criterio específico de evaluación que no está explícitamente mencionado en el texto proporcionado. Sin embargo, puedo ofrecerte una interpretación general:

1. **Uniformidad de la carga**: En un sistema ideal, la carga debería estar distribuida de manera uniforme entre los UPFs para evitar cuellos de botella y maximizar la eficiencia. Si los valores representan la carga de cada UPF, observamos que hay una variabilidad significativa, especialmente con el valor 0.2581348, que es considerablemente más bajo que los demás.

2. **Capacidad máxima**: Sin conocer la capacidad máxima o el umbral de carga aceptable para cada UPF, es difícil determinar si los valores más altos (como 0.95049231 y 0.96400626) están cerca de un límite crítico que podría llevar a la saturación.

3. **Balance de carga**: Si el objetivo es mantener un balance de carga equitativo, la diferencia entre el UPF con mayor carga (0.96400626) y el de menor carga (0.2581348) sugiere un desequilibrio significativo.

Basado en la variabilidad de los valores y la falta de un criterio específico de evaluación, la distribución de cargas parece ""NOT OK"" debido al desequilibrio evidente. Para una evaluación más precisa, se necesitarían criterios adicionales, como el umbral de carga máxima aceptable y el objetivo de balance de carga.","
{
  ""operation"": ""AsSessionWithQoS"",
  ""UPFs"": [
    {
      ""name"": ""UPF_1"",
      ""ip"": ""UPF_1_IP"",
      ""bandwidth"": ""265.85773051""
    },
    {
      ""name"": ""UPF_2"",
      ""ip"": ""UPF_2_IP"",
      ""bandwidth"": ""249.68882591""
    },
    {
      ""name"": ""UPF_3"",
      ""ip"": ""UPF_3_IP"",
      ""bandwidth"": ""133.06892344""
    },
    {
      ""name"": ""UPF_4"",
      ""ip"": ""UPF_4_IP"",
      ""bandwidth"": ""42.9163984""
    },
    {
      ""name"": ""UPF_5"",
      ""ip"": ""UPF_5_IP"",
      ""bandwidth"": ""36.13887184""
    },
    {
      ""name"": ""UPF_6"",
      ""ip"": ""UPF_6_IP"",
      ""bandwidth"": ""289.2018769""
    }
  ]
}
"
9,"Para determinar si la distribución de cargas de los UPFs (User Plane Functions) es ""OK"" o ""NOT OK"" basándonos en los valores proporcionados [0.76955077, 0.76901398, 0.93432293, 0.66401573, 0.79746091, 0.89156853], necesitamos un criterio de evaluación específico, que no se ha proporcionado en el texto. Sin embargo, puedo ofrecerte una guía general sobre cómo podrías evaluar estos valores:

1. **Uniformidad de Carga**: Si el objetivo es tener una distribución de carga uniforme entre los UPFs, los valores deberían estar lo más cerca posible entre sí. En este caso, los valores varían desde aproximadamente 0.664 hasta 0.934, lo que indica cierta variabilidad.

2. **Umbrales de Carga**: Si existe un umbral máximo permitido para la carga de los UPFs (por ejemplo, 1.0 o cualquier otro valor específico), todos los valores deberían estar por debajo de ese umbral. En este caso, todos los valores están por debajo de 1.0.

3. **Desviación Estándar**: Una baja desviación estándar entre los valores indicaría una distribución de carga más equilibrada.

Sin un criterio específico o umbral definido, no puedo determinar con certeza si la distribución es ""OK"" o ""NOT OK"". Sin embargo, basándome en la uniformidad relativa y el hecho de que todos los valores están por debajo de 1.0, podría inferirse que la distribución es razonablemente equilibrada, pero esto es una suposición y no una evaluación definitiva. Para una evaluación precisa, se necesitaría más información sobre los criterios de carga aceptables para los UPFs en tu contexto específico.","
{
  ""operation"": ""AsSessionWithQoS"",
  ""UPFs"": [
    {
      ""name"": ""UPF_1"",
      ""ip"": ""UPF_1_IP"",
      ""bandwidth"": ""230.86522955""
    },
    {
      ""name"": ""UPF_2"",
      ""ip"": ""UPF_2_IP"",
      ""bandwidth"": ""230.70419365""
    },
    {
      ""name"": ""UPF_3"",
      ""ip"": ""UPF_3_IP"",
      ""bandwidth"": ""130.80521071""
    },
    {
      ""name"": ""UPF_4"",
      ""ip"": ""UPF_4_IP"",
      ""bandwidth"": ""46.48110113""
    },
    {
      ""name"": ""UPF_5"",
      ""ip"": ""UPF_5_IP"",
      ""bandwidth"": ""111.6445271""
    },
    {
      ""name"": ""UPF_6"",
      ""ip"": ""UPF_6_IP"",
      ""bandwidth"": ""267.47055752""
    }
  ]
}
"
10,"Para determinar si la distribución de cargas de los UPFs (User Plane Functions) es ""OK"" o ""NOT OK"" basándonos en los valores proporcionados [0.98412562, 0.92617671, 0.67560918, 0.43252673, 0.69196334, 0.75267222], necesitamos un criterio de evaluación específico que no se ha proporcionado en el texto. Sin embargo, puedo ofrecerte una guía general sobre cómo podrías evaluar estos valores:

1. **Equilibrio de Carga**: Idealmente, en una red bien equilibrada, las cargas deberían estar distribuidas de manera uniforme entre los UPFs. Si los valores están muy cerca unos de otros, podría considerarse ""OK"". En este caso, hay una variación significativa entre el valor más alto (0.9841) y el más bajo (0.4325), lo que podría indicar un desequilibrio.

2. **Umbrales de Carga**: Si hay umbrales específicos que determinan cuándo una carga es demasiado alta o demasiado baja, estos valores deberían compararse con esos umbrales. Sin umbrales específicos, no podemos determinar con certeza si los valores son ""OK"" o ""NOT OK"".

3. **Capacidad Máxima**: Si los valores representan un porcentaje de utilización de la capacidad máxima, entonces valores cercanos a 1 (o 100%) podrían indicar que los UPFs están cerca de su límite de capacidad, lo cual podría ser ""NOT OK"" si no hay margen para manejar picos de tráfico.

Dado que no se proporcionan criterios específicos en el texto, no puedo determinar de manera concluyente si la distribución de cargas es ""OK"" o ""NOT OK"". Sin embargo, basándome en la variación de los valores, podría haber un potencial desequilibrio que debería investigarse más a fondo.","
{
  ""operation"": ""AsSessionWithQoS"",
  ""UPFs"": [
    {
      ""name"": ""UPF_1"",
      ""ip"": ""UPF_1_IP"",
      ""bandwidth"": ""295.23768504""
    },
    {
      ""name"": ""UPF_2"",
      ""ip"": ""UPF_2_IP"",
      ""bandwidth"": ""277.85301228""
    },
    {
      ""name"": ""UPF_3"",
      ""ip"": ""UPF_3_IP"",
      ""bandwidth"": ""94.58528474""
    },
    {
      ""name"": ""UPF_4"",
      ""ip"": ""UPF_4_IP"",
      ""bandwidth"": ""30.27687099""
    },
    {
      ""name"": ""UPF_5"",
      ""ip"": ""UPF_5_IP"",
      ""bandwidth"": ""96.87486762""
    },
    {
      ""name"": ""UPF_6"",
      ""ip"": ""UPF_6_IP"",
      ""bandwidth"": ""225.8016654""
    }
  ]
}
"
11,"Para determinar si la distribución de cargas de los UPFs (User Plane Functions) es ""OK"" o ""NOT OK"" basándonos en los valores proporcionados [0.95994097, 0.97250384, 0.89006318, 0.23184864, 0.8449217, 0.88865175], necesitamos un criterio de evaluación claro. Sin un umbral específico o un rango de valores aceptables, es difícil hacer una evaluación precisa.

Sin embargo, en un contexto general de balanceo de carga, se busca que las cargas estén distribuidas de manera uniforme entre los UPFs para evitar sobrecargas en algunos y subutilización en otros. Observando los valores:

1. La mayoría de los valores están por encima de 0.8, lo que indica una alta utilización.
2. Un valor es significativamente más bajo (0.23184864), lo que sugiere que uno de los UPFs está subutilizado.

Basado en esta observación, la distribución de cargas parece desequilibrada, ya que un UPF está subutilizado mientras que otros están cerca de su capacidad máxima. Por lo tanto, la distribución de cargas de los UPFs sería ""NOT OK"" si el objetivo es mantener una utilización equilibrada entre ellos.","
{
  ""operation"": ""AsSessionWithQoS"",
  ""UPFs"": [
    {
      ""name"": ""UPF_1"",
      ""ip"": ""UPF_1_IP"",
      ""bandwidth"": 287.98228987
    },
    {
      ""name"": ""UPF_2"",
      ""ip"": ""UPF_2_IP"",
      ""bandwidth"": 291.75115286
    },
    {
      ""name"": ""UPF_3"",
      ""ip"": ""UPF_3_IP"",
      ""bandwidth"": 124.6088445
    },
    {
      ""name"": ""UPF_4"",
      ""ip"": ""UPF_4_IP"",
      ""bandwidth"": 16.22940471
    },
    {
      ""name"": ""UPF_5"",
      ""ip"": ""UPF_5_IP"",
      ""bandwidth"": 118.28903793
    },
    {
      ""name"": ""UPF_6"",
      ""ip"": ""UPF_6_IP"",
      ""bandwidth"": 266.59552553
    }
  ]
}
"
